lat,lon,2017/08/16,
35.041668,262.20834,54.609, 
35.041668,262.25,55.14424, 
35.041668,262.29166,55.832436, 
35.041668,262.33334,56.16808, 
35.041668,262.375,56.545628, 
35.041668,262.41666,57.23983, 
35.041668,262.45834,57.93657, 
35.041668,262.5,58.790344, 
35.041668,262.54166,59.912395, 
35.041668,262.58334,60.926308, 
35.041668,262.625,61.82407, 
35.041668,262.66666,62.011402, 
35.041668,262.70834,61.735054, 
35.041668,262.75,60.896782, 
35.041668,262.79166,59.634315, 
35.041668,262.83334,58.403824, 
35.041668,262.875,57.593662, 
35.041668,262.91666,56.96114, 
35.041668,262.95834,57.17125, 
35.041668,263.0,57.776184, 
35.041668,263.04166,58.78591, 
35.041668,263.08334,59.632233, 
35.041668,263.125,59.917942, 
35.041668,263.16666,60.318947, 
35.041668,263.20834,60.413277, 
35.041668,263.25,60.795967, 
35.041668,263.29166,61.470123, 
35.041668,263.33334,62.485672, 
35.041668,263.375,63.315258, 
35.041668,263.41666,63.89053, 
35.041668,263.45834,64.56887, 
35.041668,263.5,64.64337, 
35.041668,263.54166,64.03669, 
35.041668,263.58334,63.55599, 
35.041668,263.625,63.360085, 
35.041668,263.66666,63.65317, 
35.041668,263.70834,63.581554, 
35.041668,263.75,63.961563, 
35.041668,263.79166,64.1206, 
35.041668,263.83334,64.31888, 
35.041668,263.875,64.74353, 
35.041668,263.91666,65.38513, 
35.041668,263.95834,66.12596, 
35.041668,264.0,66.71771, 
35.041668,264.04166,67.21844, 
35.041668,264.08334,67.72888, 
35.041668,264.125,68.30508, 
35.041668,264.16666,69.1056, 
35.041668,264.20834,69.54877, 
35.041668,264.25,70.13087, 
35.041668,264.29166,70.128784, 
35.041668,264.33334,70.3916, 
35.041668,264.375,70.73582, 
35.041668,264.41666,71.04122, 
35.041668,264.45834,71.300835, 
35.041668,264.5,71.30695, 
35.041668,264.54166,71.17912, 
35.041668,264.58334,71.52008, 
35.041668,264.625,71.916176, 
35.041668,264.66666,72.44554, 
35.041668,264.70834,72.82121, 
35.041668,264.75,72.72209, 
35.041668,264.79166,72.98983, 
35.041668,264.83334,74.892166, 
35.041668,264.875,74.568275, 
35.041668,264.91666,74.23163, 
35.041668,264.95834,74.424576, 
35.041668,265.0,74.23584, 
35.083336,260.0,51.06574, 
35.083336,260.04166,51.239643, 
35.083336,260.08334,51.47213, 
35.083336,260.125,51.47963, 
35.083336,260.16666,51.777035, 
35.083336,260.20834,51.43273, 
35.083336,260.25,51.498215, 
35.083336,260.29166,51.071377, 
35.083336,260.33334,50.692192, 
35.083336,260.375,50.393696, 
35.083336,260.41666,50.11166, 
35.083336,260.45834,49.973724, 
35.083336,260.5,49.97836, 
35.083336,260.54166,49.942467, 
35.083336,260.58334,49.971058, 
35.083336,260.625,50.17678, 
35.083336,260.66666,50.449173, 
35.083336,260.70834,50.70898, 
35.083336,260.75,50.681187, 
35.083336,260.79166,50.53453, 
35.083336,260.83334,50.2991, 
35.083336,260.875,50.177723, 
35.083336,260.91666,49.73286, 
35.083336,260.95834,49.80777, 
35.083336,261.0,50.00472, 
35.083336,261.04166,50.23963, 
35.083336,261.08334,50.337048, 
35.083336,261.125,50.45937, 
35.083336,261.16666,50.548523, 
35.083336,261.20834,50.480503, 
35.083336,261.25,50.364044, 
35.083336,261.29166,50.403255, 
35.083336,261.33334,50.060055, 
35.083336,261.375,49.570923, 
35.083336,261.41666,49.30283, 
35.083336,261.45834,49.439842, 
35.083336,261.5,50.083183, 
35.083336,261.54166,50.24184, 
35.083336,261.58334,50.7309, 
35.083336,261.625,51.58308, 
35.083336,261.66666,53.311985, 
35.083336,261.70834,54.883232, 
35.083336,261.75,55.560005, 
35.083336,261.79166,55.37968, 
35.083336,261.83334,55.13198, 
35.083336,261.875,54.751797, 
35.083336,261.91666,54.364788, 
35.083336,261.95834,54.32204, 
35.083336,262.0,54.0927, 
35.083336,262.04166,54.1047, 
35.083336,262.08334,53.42575, 
35.083336,262.125,52.751007, 
35.083336,262.16666,52.785942, 
35.083336,262.20834,53.82254, 
35.083336,262.25,54.935425, 
35.083336,262.29166,55.96543, 
35.083336,262.33334,56.522038, 
35.083336,262.375,56.906868, 
35.083336,262.41666,57.48791, 
35.083336,262.45834,58.097897, 
35.083336,262.5,58.930897, 
35.083336,262.54166,59.921017, 
35.083336,262.58334,60.59574, 
35.083336,262.625,61.30079, 
35.083336,262.66666,61.66498, 
35.083336,262.70834,61.305103, 
35.083336,262.75,60.378387, 
35.083336,262.79166,59.122723, 
35.083336,262.83334,57.943264, 
35.083336,262.875,56.76119, 
35.083336,262.91666,56.138863, 
35.083336,262.95834,56.265156, 
35.083336,263.0,57.280304, 
35.083336,263.04166,58.40196, 
35.083336,263.08334,59.341686, 
35.083336,263.125,60.117344, 
35.083336,263.16666,60.65237, 
35.083336,263.20834,61.289513, 
35.083336,263.25,61.69244, 
35.083336,263.29166,62.51431, 
35.083336,263.33334,63.379578, 
35.083336,263.375,64.27283, 
35.083336,263.41666,64.87707, 
35.083336,263.45834,65.719025, 
35.083336,263.5,65.617775, 
35.083336,263.54166,64.65449, 
35.083336,263.58334,64.00444, 
35.083336,263.625,64.15799, 
35.083336,263.66666,63.823837, 
35.083336,263.70834,64.23388, 
35.083336,263.75,64.22296, 
35.083336,263.79166,64.38084, 
35.083336,263.83334,64.58382, 
35.083336,263.875,64.9473, 
35.083336,263.91666,65.33854, 
35.083336,263.95834,65.93931, 
35.083336,264.0,66.58854, 
35.083336,264.04166,67.051414, 
35.083336,264.08334,67.3308, 
35.083336,264.125,67.87354, 
35.083336,264.16666,68.3336, 
35.083336,264.20834,68.8034, 
35.083336,264.25,69.1794, 
35.083336,264.29166,69.69427, 
35.083336,264.33334,69.90823, 
35.083336,264.375,70.44179, 
35.083336,264.41666,70.95528, 
35.083336,264.45834,71.19789, 
35.083336,264.5,71.089165, 
35.083336,264.54166,70.68755, 
35.083336,264.58334,70.540924, 
35.083336,264.625,70.60405, 
35.083336,264.66666,70.721016, 
35.083336,264.70834,71.079765, 
35.083336,264.75,71.39018, 
35.083336,264.79166,71.46921, 
35.083336,264.83334,72.11927, 
35.083336,264.875,72.71257, 
35.083336,264.91666,73.13897, 
35.083336,264.95834,74.73627, 
35.083336,265.0,75.45532, 
35.125,260.0,51.70319, 
35.125,260.04166,51.87009, 
35.125,260.08334,51.925495, 
35.125,260.125,51.921688, 
35.125,260.16666,52.007347, 
35.125,260.20834,51.847237, 
35.125,260.25,51.599606, 
35.125,260.29166,50.94243, 
35.125,260.33334,50.37646, 
35.125,260.375,49.96948, 
35.125,260.41666,49.854435, 
35.125,260.45834,49.99885, 
35.125,260.5,49.977394, 
35.125,260.54166,49.94568, 
35.125,260.58334,50.04004, 
35.125,260.625,50.080082, 
35.125,260.66666,50.341316, 
35.125,260.70834,50.56177, 
35.125,260.75,50.916985, 
35.125,260.79166,50.947956, 
35.125,260.83334,50.91584, 
35.125,260.875,51.09842, 
35.125,260.91666,50.795025, 
35.125,260.95834,51.026085, 
35.125,261.0,51.21736, 
35.125,261.04166,51.200054, 
35.125,261.08334,51.377956, 
35.125,261.125,51.454563, 
35.125,261.16666,51.235992, 
35.125,261.20834,51.00591, 
35.125,261.25,50.841583, 
